"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Faebloom Trick","U","U","1329","3.03","571","3.47","3495","86.0%","62.3%","637","62.6%","957","67.3%","1594","65.4%","1897","59.7%","5.7pp"
"Grappling Kraken","U","U","2388","5.95","300","","706","33.5%","60.6%","123","","188","","311","","399","",""
"High Fae Trickster","U","R","452","","182","","1092","85.8%","59.6%","175","","327","","502","60.2%","592","59.1%","1.0pp"
"Homunculus Horde","U","R","691","3.40","172","","708","59.1%","57.6%","127","","195","","322","","386","",""
"Icewind Elemental","U","C","6783","6.36","959","9.26","3271","48.0%","58.5%","534","57.1%","912","59.8%","1446","58.8%","1824","58.2%","0.6pp"
"Inspiration from Beyond","U","U","2686","7.03","381","","722","27.0%","61.1%","107","","207","","314","","407","",""
"Kaito, Cunning Infiltrator","U","M","150","","90","","553","86.4%","61.7%","104","","146","","250","","302","",""
"Kiora, the Rising Tide","U","R","322","","194","","1208","89.1%","62.2%","230","","332","","562","65.1%","644","59.3%","5.8pp"
"Lunar Insight","U","R","992","5.09","153","","373","34.1%","","75","","103","","178","","195","",""
"Mischievous Mystic","U","U","1129","2.78","558","2.97","3531","89.7%","62.1%","608","65.0%","1002","64.8%","1610","64.8%","1919","59.7%","5.2pp"
"Refute","U","C","5843","5.00","1268","6.74","7037","78.9%","61.8%","1178","61.8%","1946","64.5%","3124","63.5%","3903","60.4%","3.0pp"
"Rune-Sealed Wall","U","U","2501","6.11","373","","1115","42.8%","57.1%","177","","300","","477","","638","59.4%",""
"Skyship Buccaneer","U","U","1832","4.28","463","","2709","81.9%","61.6%","422","","796","66.7%","1218","65.9%","1498","58.2%","7.7pp"
"Sphinx of Forgotten Lore","U","M","150","","101","","607","88.4%","60.3%","89","","180","","269","","340","",""
"Strix Lookout","U","C","5657","5.13","972","7.31","5553","80.2%","60.4%","953","61.0%","1484","62.6%","2437","62.0%","3100","59.0%","3.0pp"
"Uncharted Voyage","U","C","6543","6.02","1196","8.27","5652","66.5%","61.6%","894","61.7%","1585","64.4%","2479","63.5%","3164","60.0%","3.4pp"
"Abyssal Harvester","B","R","390","","216","","1405","90.3%","59.5%","237","","374","","611","58.1%","793","60.4%","-2.3pp"
"Arbiter of Woe","B","U","1532","3.48","508","4.10","3099","85.9%","60.6%","489","","799","64.6%","1288","61.9%","1808","59.3%","2.6pp"
"Billowing Shriekmass","B","U","2241","5.02","324","","1265","52.8%","58.1%","190","","327","","517","58.0%","754","58.1%","-0.1pp"
"Blasphemous Edict","B","R","389","","222","","1341","85.2%","62.0%","212","","361","","573","64.0%","767","60.5%","3.6pp"
"Bloodthirsty Conqueror","B","M","135","","110","","725","92.7%","58.5%","115","","156","","271","","446","",""
"Crypt Feaster","B","C","7243","7.93","773","11.85","464","8.5%","","63","","132","","195","","271","",""
"Gutless Plunderer","B","C","6569","6.12","998","8.86","4090","57.9%","57.6%","694","58.5%","1018","58.8%","1712","58.7%","2361","56.8%","1.9pp"
"High-Society Hunter","B","R","285","","191","","1261","92.0%","60.7%","199","","317","","516","62.2%","742","59.3%","2.9pp"
"Hungry Ghoul","B","C","5686","4.90","1256","6.69","7214","81.3%","60.4%","1225","60.0%","1731","61.4%","2956","60.8%","4243","60.1%","0.7pp"
"Infernal Vessel","B","U","1535","3.37","492","","3144","89.3%","62.0%","535","66.2%","801","65.9%","1336","66.0%","1811","59.0%","7.0pp"
"Infestation Sage","B","C","5662","4.92","1296","6.51","7339","80.9%","60.1%","1305","60.5%","1859","61.3%","3164","61.0%","4159","59.3%","1.6pp"
"Midnight Snack","B","U","2686","6.82","265","","122","6.4%","","18","","30","","48","","74","",""
"Nine-Lives Familiar","B","R","680","3.48","170","","864","71.1%","61.2%","149","","223","","372","","489","",""
"Revenge of the Rats","B","U","2640","6.38","362","","501","20.1%","49.9%","65","","126","","191","","310","",""
"Sanguine Syphoner","B","C","6373","6.25","728","9.75","2106","41.2%","57.9%","352","","479","","831","56.9%","1270","58.6%","-1.7pp"
"Seeker's Folly","B","U","2185","4.85","418","","1859","62.6%","57.6%","282","","476","","758","56.1%","1098","58.7%","-2.7pp"
"Soul-Shackled Zombie","B","C","6636","6.38","1096","8.97","4118","53.3%","58.7%","695","57.4%","1057","61.2%","1752","59.7%","2369","57.9%","1.8pp"
"Stab","B","C","3756","3.30","1328","3.83","8565","90.7%","59.9%","1484","63.1%","2173","61.4%","3657","62.1%","4727","58.1%","4.0pp"
"Tinybones, Bauble Burglar","B","R","465","","188","","1185","87.3%","62.9%","216","","293","","509","64.8%","684","61.4%","3.4pp"
"Tragic Banshee","B","U","1408","3.21","547","3.72","3501","88.8%","60.2%","528","59.8%","911","62.3%","1439","61.4%","2060","59.1%","2.4pp"
"Vampire Gourmand","B","U","1378","3.08","571","3.58","3661","90.0%","61.6%","658","61.7%","956","65.3%","1614","63.8%","2046","59.9%","3.9pp"
"Vampire Soulcaller","B","C","6816","6.26","991","9.15","3489","49.3%","58.8%","543","57.8%","897","61.8%","1440","60.3%","2043","57.6%","2.7pp"
"Vengeful Bloodwitch","B","U","1827","4.09","389","","2101","77.2%","59.4%","357","","476","","833","61.5%","1264","58.1%","3.4pp"
"Zul Ashur, Lich Lord","B","R","804","3.91","169","","828","68.1%","58.9%","131","","211","","342","","483","",""
"Battlesong Berserker","R","U","1881","4.41","478","","2740","79.1%","60.9%","448","","608","62.2%","1056","62.1%","1695","60.0%","2.1pp"
"Boltwave","R","U","2798","7.34","255","","107","5.8%","","19","","21","","40","","61","",""
"Bulk Up","R","U","2690","7.21","285","","198","9.9%","","39","","49","","88","","109","",""
"Chandra, Flameshaper","R","M","132","","88","","551","90.8%","60.8%","76","","137","","213","","336","",""
"Courageous Goblin","R","C","6635","6.66","936","9.22","3662","54.7%","61.7%","614","62.9%","752","60.9%","1366","61.8%","2291","61.7%","0.1pp"
"Crackling Cyclops","R","C","7327","8.63","827","12.33","520","8.8%","61.3%","73","","156","","229","","290","",""
"Dragon Trainer","R","U","1779","4.09","452","","2581","80.1%","62.3%","445","","599","64.6%","1044","64.1%","1536","61.1%","2.9pp"
"Electroduplicate","R","R","1040","5.67","134","","101","10.1%","","15","","34","","49","","51","",""
"Fiery Annihilation","R","U","1231","2.90","465","","2985","89.7%","61.6%","508","63.2%","675","63.7%","1183","63.5%","1798","60.4%","3.1pp"
"Goblin Boarders","R","C","6815","6.68","933","9.59","3429","51.1%","60.7%","593","59.2%","757","62.2%","1350","60.9%","2082","60.7%","0.2pp"
"Goblin Negotiation","R","U","2575","6.40","335","","838","35.4%","63.5%","130","","210","","340","","499","",""
"Gorehorn Raider","R","C","6681","6.47","1136","8.72","4614","57.5%","61.3%","737","61.5%","1087","62.2%","1824","61.9%","2791","60.8%","1.1pp"
